Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
College Physics I (lecture),PHYS,1301,PHYS 110,PHYS 1301,,,,,,,PHYS 1301,,,PHYS 1301,,,,,,,,,,,,,,,PHYS 1301,,,PHYS 1301,,,,,,,,,,,,PHYS 1301,,PHYS 1301,,PHYS 1113,,,,,,,,,,,,,,,,PHYS 1301,,,,,PHYS 1301,,,PHYS 1301,,,PHYS 1301,,,,,,,PHYS 1301,PHY53 003,,,PHY 131,PHYS 1301,PHYS 1401,,,PHYS 1301,PHY 1301,PHYS 201,,,PHYS 201,PHYS 1301,PHYS 1301,PHYS 235,PHYS 1301,,PHYS 1301,,,,PHYS 1315,,,PHYS 1133,,,PHYS 1301,PHYS 1301,PHYS 1307,PHYS 1301,,PHYS 1410,PHYS 1410,PHYS 1331,,,PHY 302K,PHYS 1301,,PHY 1603,PHYS 1301,,,PHYS 1301,PHYS 1301,,,,,,,,PHYS 2301
College Physics II (lecture),PHYS,1302,PHYS 112,,,,,,,,PHYS 1302,,,PHYS 1302,,,,,,,,,,,,,,,PHYS 1302,,,PHYS 1302,,,,,,,,,,,,,,PHYS 1302,,PHYS 1123,,,,,,,,,,,,,,,,PHYS 1302,,,,,PHYS 1302,,,PHYS 1302,,,PHYS 1302,,,,,,,PHYS 1302,PHY53 003,,,PHY 132,PHYS 1302,PHYS 1302,,,PHYS 1302,PHYS 1302,PHYS 202,,,PHYS 202,PHYS 1302,PHYS 1302,PHYS 236,PHYS 1302,,PHYS 1302,,,,PHYS 1325,,,PHYS 1143,,,PHYS 1302,PHYS 1302,PHYS 1308,PHYS 1302,,PHYS 1420,PHYS 1420,PHYS 1332,,,PHY 302L,PHYS 1302,,PHY 1623,PHYS 1302,,,PHYS 1302,PHYS 1302,,,,,,,,PHYS 2302
Stars and Galaxies (lecture),PHYS,1303,PHYS 101,,PHYS 1303,,PHYS 1303,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1303,PHYS 1303,,,,,PHYS 1303,,,,,,PHYS 1303,,,,,,,,PHY53 003,,,,,PHYS 1403,,PHYS 1303,PHYS 1303,,ASTR 111,,PHYS 1303,ASTR 111,PHYS 1303,,,,,,,,,,,,,,,,,PHYS 1302,,,,,PHYS 1324,,ASTR 1345,AST 301,,,,,,,,,,PHYS 1303,,,,,,
Solar System (lecture),PHYS,1304,PHYS 101,,PHYS 1304,,PHYS 1304,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1304,PHYS 1304,,,,,PHYS 1304,,,,,,PHYS 1304,,,,,,,,PHY53 003,,,,,PHYS 1411,,PHYS 1304,PHYS 1304,,,,PHYS 1304,,PHYS 1304,,,,,,,,,,,,,,,,,PHYS 1301,,,,,PHYS 1323,,ASTR 1346,AST 309S,,,,,,,,,,PHYS 1304,,,,,,
Elementary Physics I (lecture),PHYS,1305,,,PHYS 1305,PHYS 1305,,,,,,,,,,PHYS 1305,,,,,,,,,,,PHYS 609AI,,,,,,,,,PHYS 1305,,,,,,,,PHYS 1305,PHYS 1305,,,,,,,,,,,,,,,,,PHYS 1305,,PHYS 1305,,,PHYS 1305,,PHYS 1305,,,PHYS 1305,PHYS 1305,,,,,PHYS 1305,,,,,PHY53 003,,PHYS 1305,PHY 101,,,,,PHYS 1305,,,,,,PHYS 1305,,,PHYS 1305,,PHYS 1305,,,,PHYS 1310,,,,,,,,,,,,,PHYS 1999,,PHYS 1301,PHY 309K,,,,,,,,,,,,,,,,
Elementary Physics Laboratory II (lecture),PHYS,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1307,,,,,,,,PHYS 1307,PHYS 1307,,,,,,,,,,,,,,,,,,,PHYS 1307,,,,,,,,PHY 136,PHYS 1307,,,,,,,,,,PHY53 003,,,PHY 102,,,,,,,,,,,PHYS 1307,,,,,,,,,PHYS 1320,,,,,,,,,,,,,PHYS 1999,,PHYS 1302,PHY 309L,,,,,,,,,,,,,,,,
"Elementary Physics (1 semester course, lecture)",PHYS,1310,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1410,,,,,,,,,,,,PHYS 1310,,PHYS 1310,,,,,,,,,,,,,,,,,PHYS 1999,,,,,,PHY 1013,,,,,,,PHYS 1310,,,,,,
Physical Science I (lecture),PHYS,1315,PHYS 102,,,PHYS 1315,PS 1315,,,,,,,,,,,,,,,,,,,,,,PHYS 1315,,,PHYS 1315,,,,,,,,,,,,,,PHYS 1315,,,,,,,,,,,,,,,,,PHYS 1315,,,,,,,,,,,,,,,PHYS 1315,,,,,PHY53 003,,,,PHSC 1315,,,,PHYS 1315,PHYS 1370,,,,,,,,PHYS 1315,,PHYS 1315,,,,,,,SCI 1114,,,,,,,,,,PHYS 1999,,,,,PSCI 2303,,,,,,,,PHYS 1315,,,,,,PHYS 1302
Physical Science II (lecture),PHYS,1317,,,,,PS 1317,,,,,,PHYS 1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1317,,,,,,,,,PHYS 1317,,PHYS 1317,,,,,,,,,,,,,,,,,PHYS 1999,,,,,,,,,,,,,,,,,,,
College Physics I (lecture + lab),PHYS,1401,PHYS 110,PHYS 1401,PHYS 1401,PHYS 1401,PHYS 1401,PHYS 1401,PHY 1408,PHYS 1401,,PHYS 1401,PHYS 1401,,PHY 401,PHYS 1401,PHYS 1401,PHYS 1401,PHYS 1401,,,,,,,,PHYS 801AI,PHYS 1401,,,PHYS 1401,,,PHYS 1401,,PHYS 1401,PHYS 1401,PHY 1419,,,PHYS 1401,,,,PHYS 1401,,PHYS 1401,,,PHYS 1401,,,,,,PHYS 1401,PHYS 1410,PHYS 1401,PHYS 1144,PHYS 1401,PHYS 1401,PHYS 1401,PHYS 1401,,PHYS 1401,,PHYS 1401,PHY 400,PHYS 1401,,PHYS 1401,,PHYS 1401,,,,,PHYS 1401,PHYS 1401,,,PHYS 1401,PHY53 004,,PHYS 1401,,,PHYS 1401,PHYS 1401,PHYS 1401,,,PHYS 201,PHYS 1301/1101,PHYS 1401,PHYS 201,,,,PHYS 1401,,PHYS 1401,,,,,PHYS 1403,PHY 1410,PHYS 1133/1131,PHYS 1401,PHYS 1401,,,,,PHYS 2411,,,PHYS 1331/1111,PHYS 1401,PHYS 1441,PHY 302K+102M,,PHYS 1403,,,,,,,PHYS 1401,PHYS 1401,,PHYS 1401,PHYS 1401,PHYS 1401,PHYS 1401,
College Physics II (lecture + lab),PHYS,1402,PHYS 112,PHYS 1402,PHYS 1402,PHYS 1402,PHYS 1402,PHYS 1402,PHY 1409,PHYS 1402,,PHYS 1402,PHYS 1402,,PHY 402,PHYS 1402,PHYS 1402,PHYS 1402,PHYS 1402,,,,,,,,PHYS 801BI,PHYS 1402,,,PHYS 1402,,,PHYS 1402,,PHYS 1402,PHYS 1402,PHY 1429,,,PHYS 1402,,,,PHYS 1402,,PHYS 1402,,,PHYS 1402,,,,,,PHYS 1402,PHYS 1420,PHYS 1402,PHYS 1244,PHYS 1402,PHYS 1402,,PHYS 1402,,PHYS 1402,,PHYS 1402,PHY 401,PHYS 1402,,PHYS 1402,,PHYS 1402,,,,,PHYS 1402,PHYS 1402,,,PHYS 1402,PHY53 004,,PHYS 1402,,,PHYS 1402,PHYS 1402,PHYS 1402,,,PHYS 202,PHYS 1302/1102,PHYS 1402,PHYS 202,,,,PHYS 1402,,PHYS 1402,,,,,PHYS 1404,PHY 1402,PHYS 1143/1141,PHYS 1402,PHYS 1402,,,,,PHYS 2412,,,PHYS 1332/1112,PHYS 1402,PHYS 1442,PHY 302L+102N,,PHYS 1404,,,,,,,PHYS 1402,PHYS 1402,,PHYS 1402,PHYS 1402,PHYS 1402,PHYS 1402,
Stars and Galaxies (lecture + lab),PHYS,1403,PHYS 101,PHYS 1403,,,,,,PHYS 1403,,PHYS 1403,PHYS 1403,,,PHYS 1403,PHYS 1403,,PHYS 1403,,,,,,,,,,,,,,,PHYS 1403,,,PHYS 1403,PSC 1409,,,PHYS 1403,,,,,,PHYS 1403,,,PHYS 1403,,,,,,PHYS 1403,,PHYS 1403,,PHYS 1403,,,,,PHYS 1403,,,PHYS 1403,PHYS 1403,,,,,,,,,,PHYS 1403,,,,PHY53 054,,,,,PHYS 1403,PHYS 1403,,,,ASTR 111,,,ASTR 111,,,,,,,,,,,ASTR 1401,,,,PHYS 1403,,,PHYS 1302,,,PHYS 1062,PHYS 1062,PHYS 1324/1124,,,AST 301+103L,,,,,,,,,,PHYS 1403,,PHYS 1403,,PHYS 1403,,
Solar System (lecture + lab),PHYS,1404,PHYS 101,PHYS 1404,,,,,,,,PHYS 1404,PHYS 1404,,,PHYS 1404,PHYS 1404,,PHYS 1404,,,,,,,,,,,,,,,PHYS 1404,,,PHYS 1404,PSC 1409,,,PHYS 1404,,,,,,PHYS 1404,,,PHYS 1404,,,,,,PHYS 1404,,PHYS 1404,,PHYS 1404,,,,,PHYS 1404,,,PHYS 1404,PHYS 1404,,,,,,,,,,PHYS 1404,,,,PHY53 054,,,,,PHYS 1411,PHYS 1404,,,,,,,,,,,,,,,,,,ASTR 1400,,,,PHYS 1404,,,PHYS 1301,,,PHYS 1052,PHYS 1502,PHYS 1323/1123,,,AST 309S+1LAB,,,,,,,,,,PHYS 1404,,PHYS 1404,,,,
Elementary Physics I (lecture + lab),PHYS,1405,,,,,,PHYS 1405,,,,PHYS 1405,,,,PHYS 1405,PHYS 1405,,PHYS 1405,,,,,,,,,,,,,,,,,,,,,PHYS 1405,PHYS 1405,,,,PHYS 1405,PHYS 1405,PHYS 1405,,,,,,,,,PHYS 1405,,,,,,,,,,,PHYS 1405,,,,,,,,,,,PHYS 1405,,,,PHYS 1405,PHY53 004,,,,,,PHYS 1405,PHYS 1405,,,,,,,,,,,,,,,,,PHYS 1401,,,,PHYS 1405,,,,,,,,PHYS 1999,PHYS 1425,,PHY 309K+1LAB,,,,,,,,,,,PHYS 1401,,,,,
Elementary Physics Laboratory II (lecture + lab),PHYS,1407,,,,,,PHYS 1407,,,,,,,,PHYS 1407,,,PHYS 1407,,,,,,,,PHYS 1407,,,,,,,,,,,,,,,,,,PHYS 1407,PHYS 1407,PHYS 1407,,,,,,,,,PHYS 1407,,,,,,,,,,,PHYS 1407,,,,,,,,,,,,,,,PHYS 1407,PHY53 004,,,,,,PHYS 1407,PHYS 1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1999,PHYS 1407,,PHY 309L+1LAB,,,,,,,,,,,PHYS 1402,,,,,
"Elementary Physics (1 semester course, lecture + lab)",PHYS,1410,,,,,,,,PHYS 1410,,,,,,PHYS 1410,PHYS 1410,,,,,,,,,,,,,,,,,,,,PHYS 1410,,,,,,,,,PHYS 1410,,,,PHYS 1410,,,,,,,PHYS 1400,,,,,,,,,,,,,,,,,,,,,PHYS 1410,,,,,,,,,,PHYS 1410,,,,,,,,,,,,,,PHYS 1410,,,,,,,,,,,,,,,PHYS 1315,PHYS 1315,PHYS 1999,PHYS 1430,,,,,,,,,,,,,,,,,,
Physical Science I (lecture + lab),PHYS,1415,PHYS 102,,PHYS 1415,,,,,,,PHYS 1415,PHYS 1415,,,PHYS 1415,PHYS 1415,,PHYS 1415,,,,,,,,,PSCI 1415,,,,,,,,,,PSC 1429,,,,,,,,,PHYS 1415,PHYS 1014,,,,,,,,,,PHYS 1415,,PHYS 1415,PHYS 1415,,,,,,,PSC 400,,,,,,,,,,,PHYS 1415,,,,PHY53 004,,,,,,PHYS 1415,,,,,IS 1415,,,,PHYS 1415,,,,PHYS 1415,,,,,,,SCI 1114,PHYS 1415,,,,,,,PHYS 1210,PHYS 1210,PHYS 1999,PSCI 1421,,,,,,,,,,PHYS 2408,PHYS 1415,,,PHYS 1415,,PHYS 1415,,
Physical Science II (lecture + lab),PHYS,1417,,,PHYS 1417,,,,,,,,PHYS 1417,,,PHYS 1417,PHYS 1417,,PHYS 1417,,,,,,,,,PSCI 1417,,,,,,,,,PHYS 1417,PSC 1419,,,,,,,,PHYS 1417,,,,,,,,,,,,PHYS 1417,,PHYS 1417,,,,,,,,PSC 401,,,,,,,,,,,PHYS 1417,,,,PHY53 004,,,,,,,,,,,IS 1417,,,,PHYS 1417,,,,PHYS 1417,,,,,,,,PHYS 1417,,,,,,,,,PHYS 1999,PSCI 1422,,,,,,,,,,,,,,PHYS 1417,,PHYS 1417,,
University Physics Laboratory I (lab),PHYS,2125,PHYS 221,,,,,,,,PHYS 2125,,,PHYS 2125,,,,,,,,,,,,,,,PHYS 2125,,,PHYS 2125,PHYS 1110,,,PHYS 2125,,,,,,,,PHYS 2125,,PHYS 2125,,PHYS 2011,,,,,,,,,,,,,,,,,,,,,PHYS 2125,,,,,,PHYS 2125,,,,,,,PHYS 2125,PHY53 001,,,PHY 241L,PHYS 2125,PHYS 2425,,,PHYS 2125,PHYS 2125,PHYS 218,,,PHYS 218,PHYS 2125,PHYS 2125,,PHYS 2125,,PHYS 2125,,,,,,,PHYS 2151,,,PHYS 1121,PHYS 2125,PHYS 2101,,,PHYS 1730,PHYS 1730,PHYS 2111,,,PHY 103M,PHYS 2125,,,PHYS 2125,,,PHYS 2125,PHYS 2105,,,,,,,,
University Physics Laboratory II (lab),PHYS,2126,PHYS 223,,,,,,,,PHYS 2126,,,PHYS 2126,,,,,,,,,,,,,,,PHYS 2126,,,PHYS 2126,PHYS 1111,,,PHYS 2126,,,,,,,,,,PHYS 2126,,PHYS 2021,,,,,,,,,,,,,,,,,,,,,PHYS 2126,,,,,,PHYS 2126,,,,,,,PHYS 2126,PHY53 001,,,PHY 242L,PHYS 2126,PHYS 2426,,,PHYS 2126,PHYS 2126,PHYS 208,,,PHYS 208,PHYS 2126,PHYS 2126,,PHYS 2126,,PHYS 2126,,,,,,,PHYS 2161,,,PHYS 1122,PHYS 2126,PHYS 2102,,,PHYS 2240,PHYS 2240,PHYS 2112,,,PHY 103N,PHYS 2126,,,PHYS 2126,,,PHYS 2126,PHYS 2106,,,,,,,,
Academic Cooperative,PHYS,2289,,,,,,,,PHYS 2289,,,,,,,,,,,,,,,,,,,PHYS 2289,,,,,,,,,,,,,,,,,,PHYS 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 1000,,,,,,,,,,,,,,,,,,,
University Physics I (lecture),PHYS,2325,PHYS 220,,,,,,,,PHYS 2325,,,PHYS 2325,,,,,,,,,,,,,,,PHYS 2325,,,PHYS 2325,PHYS 1310,,,PHYS 2325,,,,,,,,PHYS 2325,,PHYS 2325,,PHYS 2013,,,,,,,,,,,,,,,,,,,,,PHYS 2325,,,,,,PHYS 2325,,,,,,,PHYS 2325,PHY53 003,,,PHY 241,PHYS 2325,PHYS 2425,,,PHYS 2325,PHYS 2325,PHYS 218,,,PHYS 218,PHYS 2325,PHYS 2325,,PHYS 2325,,PHYS 2325,,,,,,,PHYS 2153,,,PHYS 1321,PHYS 2325,,,,PHYS 1710,PHYS 1710,PHYS 2333,,,PHY 303K,PHYS 2325,,PHY 1943,PHYS 2325,,,PHYS 2325,PHYS 2305,,,,,,,,
University Physics II (lecture),PHYS,2326,PHYS 222,,,,,,,,PHYS 2326,,,PHYS 2326,,,,,,,,,,,,,,,PHYS 2326,,,PHYS 2326,PHYS 1311,,,PHYS 2326,,,,,,,,,,PHYS 2326,,PHYS 2023,,,,,,,,,,,,,,,,,,,,,PHYS 2326,,,,,,PHYS 2326,,,,,,,PHYS 2326,PHY53 003,,,PHY 242,PHYS 2326,PHYS 2426,,,PHYS 2326,PHYS 2326,PHYS 208,,,PHYS 208,PHYS 2326,PHYS 2326,,PHYS 2326,,PHYS 2326,,,,,,,PHYS 2163,,,PHYS 1322,PHYS 2326,,,,PHYS 2220,PHYS 2220,PHYS 2334,,,PHY 303L,PHYS 2326,,PHY 1963,PHYS 2326,,,PHYS 2326,PHYS 2306,,,,,,,,
Academic Cooperative,PHYS,2389,,,,,,,,,,,,,,,PHYS 2389,,PHYS 2389,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 2389,PHYS 2389,,,,,,,,,PHYS 2389,,,,,,,PHYS 2389,,,,,,,,,,PHYS 2389,,,,,,,,,,,,,,,,PHYS 2389,PHYS 2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Physics I (lecture + lab),PHYS,2425,PHYS 220,PHYS 2425,PHYS 2425,PHYS 2425,PHYS 2425,PHYS 2425,PHY 1420,PHYS 2425,,PHYS 2425,PHYS 2425,,PHY 451,PHYS 2425,PHYS 2425,PHYS 1401,PHYS 2425,,,,,,,,PHYS 2425,,,,PHYS 2425,,,PHYS 2425,,,PHYS 2425,PHY 2439,,,PHYS 2425,,,,PHYS 2425,,PHYS 2425,,,PHYS 2425,,,,,,PHYS 2425,,PHYS 2425,PHYS 1624,PHYS 2425,PHYS 2425,,PHYS 2425,PHYS 2425,PHYS 2425,,PHYS 2425,PHY 440,PHYS 2425,,PHYS 2425,PHYS 2425,PHYS 2425,,,,,PHYS 2425,PHYS 2425,,,PHYS 2425,PHY53 154,,PHYS 2425,,,PHYS 2425,PHYS 2425,PHYS 2425,,PHYS 2325,PHYS 218,PHYS 2425,PHYS 2425,PHYS 218,,,,,,PHYS 2425,,,,PHYS 1430,PHYS 1408,,PHYS 2153/2151,PHYS 2425,PHYS 2425,,,PHYS 2401,,PHYS 2421,,,PHYS 2333/2111,PHYS 2425,PHYS 1443,PHY 303K+103M,,PHYS 2420,,,,,,,,PHYS 2425,PHYS 2401,PHYS 2425,PHYS 2425,PHYS 2425,PHYS 2425,
University Physics II (lecture + lab),PHYS,2426,PHYS 222,PHYS 2426,PHYS 2426,PHYS 2426,PHYS 2426,PHYS 2426,PHY 1430,PHYS 2426,,PHYS 2426,PHYS 2426,,PHY 452,PHYS 2426,PHYS 2426,PHYS 1402,PHYS 2426,,,,,,,,PHYS 2426,,,,PHYS 2426,,,PHYS 2426,,,PHYS 2426,PHY 2449,,,PHYS 2426,,,,PHYS 2426,,PHYS 2426,,,PHYS 2426,,,,,,PHYS 2426,,PHYS 2426,PHYS 2644,PHYS 2426,PHYS 2426,,PHYS 2426,PHYS 2426,PHYS 2426,,PHYS 2426,PHY 441,PHYS 2426,,PHYS 2426,PHYS 2426,PHYS 2426,,,,,PHYS 2426,PHYS 2426,,,PHYS 2426,PHY53 164,,PHYS 2426,,,PHYS 2426,PHYS 2426,PHYS 2426,,PHYS 2326,PHYS 208,PHYS 2426,PHYS 2426,PHYS 208,,,,,,PHYS 2426,,,,PHYS 2425,PHYS 2401,,PHYS 2163/2161,PHYS 2426,PHYS 2426,,,PHYS 2402,,PHYS 2422,,,PHYS 2334/2112,PHYS 2426,PHYS 1444,PHY 303L+103N,,PHYS 2421,,,,,,,,PHYS 2426,PHYS 2402,PHYS 2426,PHYS 2426,PHYS 2426,PHYS 2426,
Beginning Portuguese I,PORT,1411,,,,,,,POR 1401,,,PORT 1411,,,,,,,PORT 1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORT 1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 144,,,POR 131/131L,,,,,,PORT 1311,PORT 101,,,PORT 101,,,,,,,,,,POR 1410,PORT 1501,,,,,,,,,,PORT 1010,,LANG 1999,,PORT 1441,POR 406,,,,,,,,,,,,,,,,
Beginning Portuguese II,PORT,1412,,,,,,,POR 1402,,,PORT 1412,,,,,,,PORT 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORT 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 154,,,,,,,,,PORT 1312,PORT 102,,,PORT 102,,,,,,,,,,POR 1420,PORT 1502,,,,,,,,,,PORT 1020,,LANG 1999,,PORT 1442,POR 407,,,,,,,,,,,,,,,,
Intermediate Portuguese I,PORT,2311,,,,,,,,,,PORT 2311,,,,,,,PORT 2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORT 2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 164,,,POR 231,,,,,,,PORT 201,,,PORT 201,,,,,,,,,,POR 2310,PORT 2301,,,,,,,,,,PORT 2040,,LANG 1999,,PORT 2313,POR 312K,,,,,,,,,,,,,,,,
Intermediate Portuguese II,PORT,2312,,,,,,,,,,PORT 2312,,,,,,,PORT 2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORT 2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 174,,,POR 232,,,,,,,PORT 202,,,PORT 202,,,,,,,,,,POR 2320,PORT 2302,,,,,,,,,,PORT 2050,,LANG 1999,,PORT 2314,POR 312L,,,,,,,,,,,,,,,,
Learning Framework (1 SCH version),PSYC,1100,,,PSYC 1100,,,,,,,,,PSYC 1100,,,PSYC 1100,,,,,,,,,,,,,,,,,PSYC 1100,,,PSYC 1100,,,,,PSYC 1100,,,,,,,,,,,,,,PSYC 1100,,,,,,,,,,,,PSYC 1100,PSYC 1100,,PSYC 1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIV 1231,,,,PSYC 1100,,,,,,PSYC 1000,,,EDP 104,,,,,,,,,,,,,,PSYC 1100,,
Learning Framework (2 SCH version),PSYC,1200,,,PSYC 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSYC 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIV 1231,,,,,,,,,,PSYC 1000,,,EDP 204,,,,,,,,,,,,,,,,
Learning Framework (3 SCH version),PSYC,1300,,PSYC 1300,PSYC 1300,PSYC 1300,,PSYC 1300,,,PSYC 1300,PSYC 1300,,,,PSYC 1300,PSYC 1300,,PSYC 1300,,,,,,,,,,,,PSYC 1300,PSYC 1300,,PSYC 1300,,PSYC 1300,PSYC 1300,,,,,,PSYC 1300,,,PSYC 1300,,,,,,,,,,PSYC 1300,,,,,PSYC 1300,,PSYC 1300,PSYC 1300,,,PSYC 1300,,,,,,,,PSYC 1300,,,,PSYC 1300,,,PSYC 1300,,,PSYC 1300,,,,PSYC 1300,PSYC 1300,PSYC 1300,,,,,,,,,,,,,,,,,,UNIV 1231,PSYC 1300,,,PSYC 1300,,,,,,PSYC 1000,,,EDP 304,,,,,,,,,,,,,,PSYC 1300,PSYC 1300,
Academic Cooperative,PSYC,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSYC 2289,,,,,,,,,,PSYC 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSYC 1000,,,,,,,,,,,,,,,,,,,
General Psychology,PSYC,2301,PSYC 120,PSYC 2301,PSYC 2301,PSYC 2301,PSY 2301,PSYC 2301,PSY 1305,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSY 303,PSYC 2301,PSYC 2301,PSYC 1301,PSYC 2301,,,,,,,,PSYC 301,PSYC 2301,PSYC 2301,,PSYC 2301,PSYC 2301,PSYC 1301,PSYC 2301,PSYC 1313,PSYC 2301,PSYC 2301,PSY 1311,,PSYC 2301,PSYC 2301,PSYC 2301,,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2013,,PSYC 2301,,,,,,PSYC 2301,PSYC 1340,PSYC 2301,PSYC 1103,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,,PSYC 2301,PSY 303,PSYC 2301,,PSYC 2301,PSYC 2301,PSYC 2301,,PSYC 2301,,,PSYC 2301,PSYC 2301,,PSY 2320,PSYC 2301,PSY33 104,,PSYC 2301,PSY 133,PSY 1302,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 107,PSY 1301,PSYC 2301,PSYC 107,PSYC 2301,PSYC 2301,PSY 131,PSYC 2301,,PSYC 2301,,,,PSY 1300,PSY 1300,PSY 1301,PSY 1013,PSYC 2301,PSYC 2301,PSYC 1300,PSYC 2301,PSY 1303,PSYC 2301,PSYC 1301,PSYC 1630,PSYC 1630,PSYC 1332,PSYC 2301,PSYC 1315,PSY 301,PSY 2301,PSYC 1301,PSY 1013,PSYC 1301,,,PSYC 1301,PSYC 1301,PSYC 2301,PSYC 2301,PSYC 1301,PSYS 2301,PSYC 2301,PSYC 2301,PSYC 2301,PSYC 2300
